origintime,latitude,longitude,depth,magnitude
2014-06-29T04:06:43.000000Z,18.201,-68.989,102,2.6
2014-06-29T06:11:36.100000Z,19.113,-71.844,54.3,1.6
2014-06-29T08:37:58.100000Z,18.556,-71.627,22.1,4.0
2014-06-29T12:55:37.900000Z,18.532,-72.564,15.9,1.0
2014-06-30T00:53:00.400000Z,17.897,-67.858,10.3,2.1
2014-06-30T02:08:21.200000Z,18.902,-66.55,32.5,2.3
2014-07-02T02:32:43.600000Z,20.39,-70.79,41.8,2.6
2014-07-02T14:01:19.900000Z,18.861,-67.978,55,3.8
2014-07-04T05:48:46.100000Z,18.904,-74.127,44.1,2.3
2014-07-04T16:54:39.900000Z,18.445,-72.807,8.7,1.3
2014-07-05T00:50:13.600000Z,19.066,-69.128,45,2.5
2014-07-05T02:54:33.800000Z,18.035,-68.408,80,2.7
2014-07-07T07:13:02.600000Z,18.527,-68.746,125,3.4
2014-07-07T09:09:56.900000Z,18.538,-73.072,6.4,2.0
2014-07-07T09:15:25.400000Z,18.545,-73.088,6.1,2.2
2014-07-07T09:20:48.500000Z,19.048,-67.832,10.1,3.0
2014-07-07T10:00:38.100000Z,18.552,-73.073,6.3,2.0
2014-07-07T10:07:13.400000Z,19.091,-67.85,10.3,3.7
2014-07-07T12:24:52.500000Z,18.51,-73.079,6.2,3.4
2014-07-08T12:59:12.100000Z,19.114,-70.65,20.7,2.1
2014-07-09T01:53:29.300000Z,19.778,-70.077,51.5,2.3
2014-07-09T15:05:28.200000Z,18.799,-70.297,107,2.3
2014-07-10T17:45:01.200000Z,18.817,-69.308,122,2.7
2014-07-10T18:03:18.800000Z,18.179,-67.387,24,2.9
2014-07-10T19:46:20.900000Z,20.017,-70.561,21.6,2.7
2014-07-11T00:23:57.600000Z,19.176,-71.115,176,3.8
2014-07-11T00:36:36.100000Z,20.129,-70.384,25,2.4
2014-07-11T01:19:37.200000Z,19.938,-70.509,58.1,2.7
2014-07-11T02:31:45.500000Z,19.112,-69.203,10,4.2
2014-07-11T11:40:02.000000Z,19.276,-68.931,3,2.4
2014-07-12T06:41:00.800000Z,18.885,-71.492,9.1,1.5
2014-07-12T17:24:38.900000Z,17.944,-71.612,30.2,2.7
2014-07-13T05:34:27.500000Z,18.155,-72.065,31.2,1.6
2014-07-13T08:56:51.500000Z,19.636,-72.258,16.1,2.0
2014-07-13T15:05:54.900000Z,19.529,-70.419,37.5,1.8
2014-07-13T18:46:45.200000Z,19.357,-69.254,78.6,3.1
2014-07-14T06:03:56.200000Z,19.318,-69.879,20,2.1
2014-07-14T18:30:27.700000Z,19.976,-70.317,40,2.5
2014-07-15T05:05:12.800000Z,18.803,-68.858,27.6,2.2
