origintime,latitude,longitude,depth,magnitude
2014-03-13T20:34:54.900000Z,18.687,-71.717,0.1,1.8
2014-03-14T00:11:38.300000Z,16.076,-71.348,129.2,2.1
2014-03-14T06:25:36.300000Z,19.436,-71.303,109.4,2.0
2014-03-14T08:02:17.400000Z,16.045,-71.939,15,3.0
2014-03-14T08:10:55.500000Z,15.671,-73.295,82.2,2.4
2014-03-14T08:19:10.000000Z,16.274,-70.958,152,4.0
2014-03-14T08:25:51.700000Z,16.287,-72.017,80.1,1.6
2014-03-14T10:53:37.900000Z,15.456,-69.975,15,1.8
2014-03-14T11:53:11.500000Z,16.682,-69.473,330.2,2.2
2014-03-15T12:49:46.700000Z,19.05,-66.455,20.6,1.2
2014-03-15T13:20:56.700000Z,19.071,-66.331,24,1.6
2014-03-15T14:00:20.700000Z,19.32,-67.311,12.9,1.7
2014-03-16T13:30:41.000000Z,14.99,-69.711,15,1.5
2014-03-17T05:03:07.600000Z,15.437,-69.209,15,1.3
2014-03-17T12:54:35.300000Z,15.785,-67.901,32.9,4.0
2014-03-18T16:44:20.600000Z,15.727,-71.584,15,3.2
2014-03-19T07:28:22.800000Z,16.195,-69.415,15,1.8
2014-03-19T07:31:11.500000Z,16.04,-68.43,15,2.7
2014-03-20T13:24:54.000000Z,15.473,-67.864,83.4,1.8
2014-03-20T19:49:49.500000Z,15.182,-69.36,50.2,1.8
2014-03-21T06:24:44.100000Z,15.497,-69.835,15,1.4
2014-03-21T12:01:13.500000Z,15.426,-70.062,80.7,1.7
2014-03-21T18:10:52.900000Z,15.544,-70.446,87.3,1.8
2014-03-21T18:14:58.900000Z,15.557,-70.842,107.7,1.7
2014-03-21T19:41:24.900000Z,15.828,-69.633,82.8,2.0
2014-03-21T21:27:32.300000Z,19.109,-68.264,0,1.4
2014-03-21T21:47:27.600000Z,15.444,-69.827,80.8,1.4
2014-03-21T22:18:17.900000Z,15.409,-71.484,89,1.8
2014-03-22T01:11:41.600000Z,19.041,-73.475,23.1,4.2
2014-03-22T12:15:02.300000Z,15.469,-69.114,15,3.0
2014-03-22T20:52:56.100000Z,16.08,-75.671,70.7,1.8
2014-03-22T21:17:17.500000Z,15.651,-69.953,91.8,1.5
2014-03-23T12:57:41.000000Z,15.498,-70.283,90,1.9
2014-03-23T20:48:45.800000Z,17.172,-68.322,88.2,2.0
2014-03-24T03:40:06.000000Z,15.612,-71.474,82.5,1.8
